发布者;IP属地;帖子账号粉丝数;转发数;评论数;点赞数;文本;话题;一级账号粉丝数;用户名;评论属地;评论内容;评论时间;评论点赞数;主题相似度;标记;是否为官媒
风闻社区;;0;4;16;33;韩国又闹“萨德”中国安全决不能由别人来决定后沙月光本尊：据韩联社日报道，关于驻韩美军“萨德”（）反导基地，预计韩国防部相关计划最早将于月内完成，届时将走完“萨德”在韩正式部署所需程序。根据去年月韩国外交部和驻韩美军指挥官组成的《驻韩美军地位协定》（）联合委员会签署供地文件，韩方将为“萨德”基地再向美方供地万平方米。韩国一些“反萨德”民间团体对此进行了抗议，理由是环境保护。韩国官方和民间这样闹来闹去，是想将“萨德”转化为一个法律问题，掩人耳目，避开其事关地缘政治和东北亚安全问题的实质。;@后沙月光本尊;318;长江715;北京;主动发起第二次抗美援朝！;2023-01-15 19:45:37;0;8.804142343401807e-05;0;0
风闻社区;;0;4;16;33;韩国又闹“萨德”中国安全决不能由别人来决定后沙月光本尊：据韩联社日报道，关于驻韩美军“萨德”（）反导基地，预计韩国防部相关计划最早将于月内完成，届时将走完“萨德”在韩正式部署所需程序。根据去年月韩国外交部和驻韩美军指挥官组成的《驻韩美军地位协定》（）联合委员会签署供地文件，韩方将为“萨德”基地再向美方供地万平方米。韩国一些“反萨德”民间团体对此进行了抗议，理由是环境保护。韩国官方和民间这样闹来闹去，是想将“萨德”转化为一个法律问题，掩人耳目，避开其事关地缘政治和东北亚安全问题的实质。;@后沙月光本尊;1350;majumbo;山西;在中国的国家安全面前，韩国的主权算个屁~;2023-01-15 20:43:00;0;8.804142343401807e-05;0;0
风闻社区;;0;4;16;33;韩国又闹“萨德”中国安全决不能由别人来决定后沙月光本尊：据韩联社日报道，关于驻韩美军“萨德”（）反导基地，预计韩国防部相关计划最早将于月内完成，届时将走完“萨德”在韩正式部署所需程序。根据去年月韩国外交部和驻韩美军指挥官组成的《驻韩美军地位协定》（）联合委员会签署供地文件，韩方将为“萨德”基地再向美方供地万平方米。韩国一些“反萨德”民间团体对此进行了抗议，理由是环境保护。韩国官方和民间这样闹来闹去，是想将“萨德”转化为一个法律问题，掩人耳目，避开其事关地缘政治和东北亚安全问题的实质。;@后沙月光本尊;483;好吃不贵但会胖;新疆;俄罗斯已经打了样了，这要是真的，下手要快要狠不能再给机会和谈了;2023-01-15 19:56:03;3;8.804142343401807e-05;0;0
风闻社区;;0;4;16;33;韩国又闹“萨德”中国安全决不能由别人来决定后沙月光本尊：据韩联社日报道，关于驻韩美军“萨德”（）反导基地，预计韩国防部相关计划最早将于月内完成，届时将走完“萨德”在韩正式部署所需程序。根据去年月韩国外交部和驻韩美军指挥官组成的《驻韩美军地位协定》（）联合委员会签署供地文件，韩方将为“萨德”基地再向美方供地万平方米。韩国一些“反萨德”民间团体对此进行了抗议，理由是环境保护。韩国官方和民间这样闹来闹去，是想将“萨德”转化为一个法律问题，掩人耳目，避开其事关地缘政治和东北亚安全问题的实质。;@后沙月光本尊;4412;goodgaljan;其他;武装第一岛链哦，美国看来是真的要退到第二岛链后面了，让这些国家当炮灰呢……;2023-01-15 19:44:46;4;8.804142343401807e-05;0;0
合肥班长;安徽;0;0;10;10;肥西县产城融合示范区（花岗）最新卫星影像图，路网建设进度很快，随着紫云湖片区和滨湖西片区热点降温，肥西经开区供应宗地后优质地块减少，北雁湖供地难度大，年该片区可能会加大土地供应。;;63;稻草熊1012;安徽;繁华西厂房在拆迁;2023-01-15 18:13:57;0;0.0001919447117381;0;0
合肥班长;安徽;0;0;10;10;肥西县产城融合示范区（花岗）最新卫星影像图，路网建设进度很快，随着紫云湖片区和滨湖西片区热点降温，肥西经开区供应宗地后优质地块减少，北雁湖供地难度大，年该片区可能会加大土地供应。;;63;用心灵去旅行qwe;安徽;我咋没看到哪个厂房;2023-01-15 18:49:24;0;0.0001919447117381;1;0
合肥班长;安徽;0;0;10;10;肥西县产城融合示范区（花岗）最新卫星影像图，路网建设进度很快，随着紫云湖片区和滨湖西片区热点降温，肥西经开区供应宗地后优质地块减少，北雁湖供地难度大，年该片区可能会加大土地供应。;;154;A超人不会飞飞飞飞;安徽;离市区远;2023-01-15 15:45:17;0;0.0001919447117381;0;0
合肥班长;安徽;0;0;10;10;肥西县产城融合示范区（花岗）最新卫星影像图，路网建设进度很快，随着紫云湖片区和滨湖西片区热点降温，肥西经开区供应宗地后优质地块减少，北雁湖供地难度大，年该片区可能会加大土地供应。;;154;进击的茶业子;其他;你指的市里是庐阳区？那边人去政务滨湖多，本身离得就近;2023-01-15 21:23:35;0;0.0001919447117381;1;0
合肥班长;安徽;0;0;10;10;肥西县产城融合示范区（花岗）最新卫星影像图，路网建设进度很快，随着紫云湖片区和滨湖西片区热点降温，肥西经开区供应宗地后优质地块减少，北雁湖供地难度大，年该片区可能会加大土地供应。;;238;寂寞覆华殇;江苏;远离新站，拥抱肥西;2023-01-16 17:04:38;0;0.0001919447117381;0;0
合肥班长;安徽;0;0;10;10;肥西县产城融合示范区（花岗）最新卫星影像图，路网建设进度很快，随着紫云湖片区和滨湖西片区热点降温，肥西经开区供应宗地后优质地块减少，北雁湖供地难度大，年该片区可能会加大土地供应。;;188;ZZ观世界;安徽;花岗欢迎您;2023-01-15 12:54:51;0;0.0001919447117381;0;0
合肥班长;安徽;0;0;10;10;肥西县产城融合示范区（花岗）最新卫星影像图，路网建设进度很快，随着紫云湖片区和滨湖西片区热点降温，肥西经开区供应宗地后优质地块减少，北雁湖供地难度大，年该片区可能会加大土地供应。;;309;21cnzxb;安徽;先把地铁九号线安排上，地皮才好卖;2023-01-15 15:58:26;2;0.0001919447117381;0;0
中国水运报;;0;5;7;14;长三角一体化示范区重大建设项目三年行动计划（年）发布月日上午，长三角生态绿色一体化发展示范区新闻发布会在上海举办，上海市政府副秘书长、市发展改革委主任、长三角一体化示范区执委会主任顾军介绍了《长三角生态绿色一体化发展示范区重大建设项目三年行动计划（年）》（简称《行动计划》）有关情况。据介绍，《行动计划》聚焦“一厅三片”重点区域和生态环保、设施互通、产业创新、民生服务四大重点领域，明确开展项行动，共包括个项目。到年，一批生态环保、基础设施、科技创新、公共服务等凸显“五共”理念的重点项目落地，示范引领长三角地区更高质量一体化发展。在设施互通领域，实施轨道交通引领、区域道路连通、特色交通构建、数字智能支撑四项行动，共计个项目。沪苏湖高铁、上海号线西延伸将于年底建成通车，通苏嘉甬高铁、沪苏嘉城际铁路加快建设，轨道交通对示范区发展的带动作用将进一步发挥。在前期已经贯通的条跨省对接道路基础上，部分跨省对接道路工程也将进一步加速建设。在产业创新领域，《行动计划》提出，以打造绿色创新发展新高地为目标，实施创新平台共建、先进制造升级、文旅新经济培育、新型服务赋能四项行动。据悉，年长三角一体化示范区执委会将会同两省一市三级八方全面贯彻落实习近平总书记在深入推进长三角一体化发展座谈会上的重要讲话精神，坚持制度创新和项目建设双轮驱动，把长三角一体化发展宏伟蓝图在示范区转化为施工图、实景画，在为全国区域协调发展先行探路中交出更加优异的答卷。（全媒记者孙木子）;;7;天空里的一片云MM;江苏;[good][话筒][赞][微笑];2024-01-18 10:50:27;0;0.0145630947936165;0;0
