Location,Score
安徽,-0.3019436943100688
福建,0.45342022737736776
山东,0.49324704135089154
湖南,-0.07813310756038921
广东,-0.261253009178433
北京,0.22715788403364934
江苏,0.2811080733779998
广西,-0.057348812236523106
河南,0.04569217113332777
陕西,0.2925515253319284
上海,0.2571369416830764
湖北,-0.11371659907643411
浙江,0.045899473307500646
海南,0.5625620038232682
云南,-0.6966479140201733
山西,0.06606232919043087
辽宁,0.07071064215148679
甘肃,0.6105973923221492
内蒙,-0.0926419540271133
江西,-0.2088755038656656
天津,-0.028753078937651805
河北,-0.0650547923313918
四川,0.136981621778679
重庆,-0.6248352863079657
新疆,0.9998883791306556
贵州,0.4289833700721043
香港,0.0908723251120125
黑龙江,0.0682836720701033
吉林,0.0826832750701123
内蒙古,0.18207003838025337
台湾,0.0
宁夏,-0.0241352265089697
青海,0
西藏,0
