Location,Score
安徽,0.4247101312241701
福建,-0.3561872855428091
山东,-0.32029599580149193
湖南,0.4014083688457638
广东,0.6778984287217884
北京,-0.06354635742458123
江苏,0.4934842091954693
广西,0.47071337966069987
河南,0.33857116713217783
陕西,0.693456518425484
上海,0.7449444745461038
湖北,0.44685564686571755
浙江,0.03608596524793929
海南,0.26665067130449177
云南,0.7278100871756717
山西,0.17269661124627267
辽宁,0.11066936010645373
甘肃,0.510149640904755
内蒙,0.5676196734109913
江西,0.5837686555537398
天津,0.2952528853978562
河北,0.3136538857590449
四川,-0.04737170572597982
吉林,-0.1362359762177816
新疆,0.3716563005991987
重庆,0.6822787363172106
贵州,0.5741437395976179
宁夏,0.2242405480578532
澳门,0.0
香港,0.34937536870805186
黑龙江,0.0
内蒙古,0.0
台湾,0.6526255486821892
西藏,0.0
青海,0.0

