微观集群密度;一级评论平均情绪值;微观集群信任度值;微观集群群体情绪;群体情绪指数2
5.442769281010178e-05;-0.8145235096815214;0.7032403563030086;-3.117649829454146e-05
--------;--------;--------;--------;-0.0004651444063572451
1.8142564270033927e-05;-0.8683877651650858;0.6666667543635892;-1.050318860885826e-05
1.8142564270033927e-05;-0.9062779258867424;0.6666668810369222;-1.0961473869328643e-05
--------;--------;--------;--------;-0.00032024660344304797
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
5.442769281010178e-05;0.639983561415294;0.8454073708654907;2.9447930117739997e-05
0.0009071282135016;0.6530512462345907;0.6471298892236337;0.0003833605296114785
0.0001814256427003;-0.2492588989276281;0.6666667891639555;-3.0147976164043025e-05
0.0001632830784303;0.9640033945596802;0.6666671608318661;0.00010493703903826737
7.257025708013571e-05;0.3069528027744492;0.6666669659498156;1.4850435872598136e-05
5.442769281010178e-05;-0.999996937501152;0.6666667112111353;-3.628501984134873e-05
1.8142564270033927e-05;-0.1618738529101069;0.6666668754688635;-1.9578717999181293e-06
9.071282135016963e-05;0.9509100857624452;0.6666667460115014;5.750649799749334e-05
--------;--------;--------;--------;0.007783786807003356
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
0.0001451405141602;0.5018478068076065;0.9850138224364066;7.174687878439661e-05
--------;--------;--------;--------;0.0010704428388609774
0.0028846677189353;0.4474243982445002;0.4181705982820405;0.0005397205464482425
0.0008345579564215;0.1820151292534905;0.5201687723815349;7.90147675316641e-05
0.0001995682069703;0.0928792227709306;0.5547294805209417;1.0282321395304175e-05
0.0007075600065313;0.5660790549469884;0.7756165986673911;0.0003106615166425004
0.0005987046209111;0.7482519923511814;0.6666667863799262;0.0002986546705804361
0.0003628512854006;0.2584403487223943;0.666666727915311;6.251694756581696e-05
0.0002177107712404;0.1853733659246337;0.6666697193547857;2.690530884163141e-05
3.6285128540067854e-05;0.2963037483579251;0.666669474360208;7.167643250738848e-06
7.257025708013571e-05;0.6689156688370024;0.666667279153111;3.236228443378492e-05
0.0001451405141602;-0.0145167326472985;0.6666675116195568;-1.4046458071904224e-06
5.442769281010178e-05;0.7831558135977903;0.6666741097689797;2.8417226628242955e-05
3.6285128540067854e-05;-0.288659131558459;0.6666667056430766;-6.982689536815593e-06
--------;--------;--------;--------;0.020698355013982858
1.8142564270033927e-05;-0.5358230968438349;0.6666667404434429;-6.480804031771089e-06
1.8142564270033927e-05;0.6083595075133454;0.6666677663582371;7.358146447082117e-06
1.8142564270033927e-05;0.0;0.6666667126031499;0.0
--------;--------;--------;--------;1.308969702390632e-05
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
0.0003628512854006;0.2560470243575682;0.5804131296702884;5.3924437943398296e-05
0.0001995682069703;0.6307404575090166;0.60255604009927;7.584718874572926e-05
0.0001088553856202;0.8181087772294653;0.6666670202383868;5.9370395770578564e-05
--------;--------;--------;--------;0.0028219446880483182
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
5.442769281010178e-05;0.6326483036590121;0.700896211788181;2.413437105692159e-05
3.6285128540067854e-05;-0.4087971968319749;0.7315507180618744;-1.0851281151113505e-05
1.8142564270033927e-05;-0.1420305227215095;0.6666669144452736;-1.7178658963297244e-06
1.8142564270033927e-05;0.9995157102931064;0.6666667947320141;1.2089187664242777e-05
3.6285128540067854e-05;-0.9117366197592124;0.6666666986830035;-2.20549880209465e-05
1.8142564270033927e-05;-0.9430536728053016;0.666666680586813;-1.1406274817473337e-05
--------;--------;--------;--------;-0.000146315404640434
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
5.442769281010178e-05;-0.0993535700230815;0.6666669436775812;-3.6050585571623736e-06
--------;--------;--------;--------;-5.378643895834813e-05
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
5.442769281010178e-05;-0.0191408393030224;0.666666684762857;-6.945278333274117e-07
7.257025708013571e-05;0.0037795357078336;0.6666670480786797;1.8285468992176125e-07
1.8142564270033927e-05;0.6083595075133454;0.6666666931149449;7.35813460147968e-06
1.8142564270033927e-05;0.0;0.6666667209552378;0.0
3.6285128540067854e-05;0.4112281982898178;0.6666677663582371;9.947661765176984e-06
3.6285128540067854e-05;0.0524655636156166;0.6666677663582371;1.2691485733176985e-06
--------;--------;--------;--------;0.0002694988307315961
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
7.257025708013571e-05;-0.0656683711416631;0.6666668573726732;-3.1770479593457705e-06
5.442769281010178e-05;-0.071324308418045;0.5706173297041012;-2.2151464873725894e-06
1.8142564270033927e-05;-0.4979397844378388;0.6666667933399995;-6.022604172201683e-06
3.6285128540067854e-05;-0.4086226311502418;0.6666668866049807;-9.884619724786993e-06
1.8142564270033927e-05;-0.2792147424319224;0.6666675380678352;-3.3771186873734e-06
--------;--------;--------;--------;-0.0003681668499083535
3.6285128540067854e-05;-0.1148045930974972;0.7358880247467428;-3.0654883160569224e-06
--------;--------;--------;--------;-4.573620582709961e-05
0.0002177107712404;-0.8481757833578596;0.6666667487955307;-0.00012310468446051666
--------;--------;--------;--------;-0.0018366865589651107
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
9.071282135016963e-05;-0.0631744384861605;0.6666669214053469;-3.820489161367231e-06
--------;--------;--------;--------;-5.700060174075387e-05
0.0001269979498902;-0.006685059655294;0.5701483626151564;-4.840496147452918e-07
0.0001088553856202;0.1613360886562294;0.6239282399989668;1.0957616267740183e-05
3.6285128540067854e-05;0.9521398183201388;0.6666667766358236;2.3032347596513204e-05
0.0001451405141602;-0.0195449223710366;0.6666667112111353;-1.8911735144642686e-06
--------;--------;--------;--------;0.00047168285778633693
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
0.0002902810283205;0.7314396356537379;0.4875325662453463;0.0001035144012405959
0.0002177107712404;0.8241740774142952;0.754710937996632;0.00013541897154255292
0.0001995682069703;0.8621747114125716;0.75155818230984;0.00012931510093375353
0.0001814256427003;0.8158573207263182;0.8517648290558415;0.00012607604842654235
0.0001814256427003;0.8758437886888704;0.7482974713750179;0.00011890485901327226
0.0001814256427003;0.8067554271259673;0.5072613440962745;7.424587570906469e-05
0.0001451405141602;0.6215086038117723;0.5741772503148521;5.179427800700167e-05
0.0001451405141602;0.7770114204679709;0.7640367269475047;8.61648814376005e-05
0.0001451405141602;0.5401546241675581;0.5383271172273004;4.2203941535220065e-05
0.0001451405141602;0.8502221688428877;0.8692199680863865;0.00010726320672981578
--------;--------;--------;--------;0.0145452515297582
1.8142564270033927e-05;-0.6214099947920322;0.6666668281403656;-7.515982332820357e-06
--------;--------;--------;--------;-0.00011213629918801265
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
--------;--------;--------;--------;0.0
